logFC	AveExpr	t	P.Value	adj.P.Val	B	Bonf
PIEZO2	5.24800529212529	5.97283341194581	38.9323293621112	1.38323570569476e-33	1.17829098685101e-31	66.6443008133746	1.15472516711399e-29
TRANK1	-4.26819965899314	7.39482352555954	-38.8738295974574	1.4673588700053e-33	1.23652537452032e-31	66.5889751476686	1.22495118468042e-29
CD9	5.28941872362099	2.91272871507214	38.8645188075272	1.4812234960713e-33	1.23652537452032e-31	66.5704780123692	1.23652537452032e-29
SH3BP4	5.06314549539307	3.00452734315148	38.818307015836	1.55204929816562e-33	1.28282252882046e-31	66.5276772134276	1.29565075410866e-29
ERBB2IP	2.78379577123555	7.53336104774053	38.8080381126371	1.56825332047217e-33	1.2835077175786e-31	66.5225293006208	1.30917787193017e-29
PHLPP1	3.49211125196199	6.38981787343241	38.6185529132666	1.90043553844133e-33	1.54027532766099e-31	66.3273148600451	1.58648358749082e-29
SEMA6A	3.64583831378436	6.67638529240027	38.5562709531654	2.02471029654987e-33	1.62521938034599e-31	66.2705136185377	1.69022815555983e-29
MYO10	5.10011273926365	6.2461644351569	38.5199954199426	2.10089870303004e-33	1.67031451170426e-31	66.234651897926	1.75383023728948e-29
DOCK10	3.93314672475515	7.59525728866205	38.3502042195	2.49852261234562e-33	1.96770441206238e-31	66.0606966075865	2.08576667678612e-29
SLC44A1	2.64621119299924	8.04699277785972	38.3285998020205	2.55437357655571e-33	1.99288884271841e-31	66.0357934228149	2.13239106170871e-29
TMC6	6.08499806509662	3.33987531661422	38.2036134596119	2.90355428362066e-33	2.24381602931174e-31	65.9096384465788	2.42388711596653e-29
ITGA2	6.20861727577446	3.66156711529496	38.1948650703876	2.92975499754408e-33	2.24381602931174e-31	65.9053909789197	2.4457594719498e-29
PARP14	4.63271609064222	3.16912616763902	38.0780725021266	3.30366754508882e-33	2.50718333330923e-31	65.7801546980423	2.75790166664015e-29
SMIM5	4.97527129842154	2.56354884107884	38.0264830877045	3.48406994520333e-33	2.6202717029331e-31	65.7248913999969	2.90850159025574e-29
ATP10B	6.38627356779993	3.69631624724638	37.9151077401127	3.90874979770493e-33	2.91341458136078e-31	65.6185779941009	3.26302433112408e-29
TBC1D30	-3.15335996697909	5.11213020636232	-37.8101185863455	4.35764741493254e-33	3.21926023184574e-31	65.4951535733111	3.63776406198568e-29
ZBTB20	3.68783810741284	5.89837374801702	37.7192708844964	4.78858352076669e-33	3.50658730099652e-31	65.4150389538095	3.99750952313603e-29
R3HDM1	-3.25162344926513	9.14882668868256	-37.6322982581631	5.24206828445399e-33	3.80528574248886e-31	65.3258937980979	4.37607860386219e-29
FGFR2	4.15972435286691	5.90164772012741	37.542565142099	5.75619722110791e-33	4.14247710360421e-31	65.2307265108772	4.80527344018088e-29
RBFOX2	-2.42218462696433	7.97905412375671	-37.5145073287113	5.92733769427029e-33	4.22918077536482e-31	65.2010608596766	4.94814150717684e-29
MAP4K4	2.40075497666371	9.59566786054608	37.4780638234716	6.15743684999985e-33	4.3195195650251e-31	65.1626172274343	5.14022828237987e-29
SHANK2	-3.65347696775411	6.86911375905862	-37.4859371800505	6.10696269691417e-33	4.3195195650251e-31	65.1524015374423	5.09809245938395e-29
SH3D19	2.8694462558455	6.55559690493282	37.2351604391329	7.94391166599826e-33	5.52631454897945e-31	64.908657997029	6.63157745877535e-29
CARNS1	6.81462124689896	4.56004997030497	37.1429805106669	8.75382625655285e-33	6.03941666030605e-31	64.8105352887751	7.30769415897032e-29
SPATA13	4.97972802406325	4.45863147526025	37.1150849674733	9.01523299151946e-33	6.16878401747577e-31	64.7822844427952	7.52591650132045e-29
CNDP1	7.62335629893709	4.67322976331176	37.0723860003629	9.43094175383678e-33	6.37134787167969e-31	64.7398524701334	7.87295017610294e-29
ADAM11	-3.25019851978425	5.01178063717691	-37.0690826986152	9.46390915295018e-33	6.37134787167969e-31	64.7170993181198	7.90047136088281e-29
NDE1	5.87722328458494	5.23648611794703	37.0140479337578	1.00308648984348e-32	6.69901281377072e-31	64.6768725668354	8.37376601721337e-29
NDRG1	3.12108094965786	6.25977191244394	36.8974405959845	1.13499278763151e-32	7.51977761202208e-31	64.5540846594495	9.47491979114784e-29
DPF3	2.86022560297898	6.39739661861989	36.5757539415054	1.5989879827601e-32	1.05105131339223e-30	64.2056385245811	1.33483516800813e-28
ANLN	6.1556730718445	5.92976345909194	36.5516606404784	1.64075372137698e-32	1.0689344807838e-30	64.1870595628912	1.3697012066055e-28
PLD1	4.58747927085921	4.87664594700348	36.5453914643879	1.65180340226533e-32	1.0689344807838e-30	64.1734083472943	1.3789254802111e-28
DOCK6	3.98108341645325	2.86279339923547	36.2440437734784	2.28367247587814e-32	1.46646906374083e-30	63.8546472570491	1.90640978286307e-28
PTPRZ1	3.99800026550987	6.47660395766055	36.2007889922292	2.39285534255095e-32	1.52485163355842e-30	63.810592983998	1.99755563996153e-28
UNC13A	-3.63527393279952	8.03500604541673	-36.1886835733511	2.42435878471879e-32	1.53322326779034e-30	63.7968906961631	2.02385471348325e-28
SP110	5.46033746900157	3.44848740594149	36.1698112578418	2.47432227719192e-32	1.5530558172931e-30	63.7761672765901	2.06556423699981e-28
RGS3	4.18827198043874	3.44894541675855	36.1046846141853	2.6549883578568e-32	1.65401812025288e-30	63.701832482685	2.21638428113886e-28
ADAMTS4	6.15955571612058	4.08119070758489	36.0556832048952	2.79978826038284e-32	1.73130610353155e-30	63.6537776320587	2.33726323976759e-28
CORO6	-4.02257665861663	5.0554438557202	-36.020907413405	2.90743731328199e-32	1.77795371950534e-30	63.6146408416403	2.42712866912781e-28
PLEKHB1	5.02313742201845	3.14507905165862	36.0176231155428	2.91782055069754e-32	1.77795371950534e-30	63.6125772910813	2.43579659572231e-28
ACSS1	5.4111549730279	3.83126825755514	35.9934527764154	2.99541205277281e-32	1.81200723308315e-30	63.5861652967737	2.50056998165474e-28
PRUNE2	2.36907211178481	8.91574212869186	35.9720870083878	3.06575903556356e-32	1.84121988697012e-30	63.5626838515428	2.55929564288846e-28
CLIC4	5.22031004058169	4.06165734225914	35.957183045568	3.11583027767777e-32	1.85792508271815e-30	63.5470103230506	2.6010951158054e-28
MOBP	6.26369578420656	7.36257862257253	35.7645572637313	3.84375049889556e-32	2.25969940980855e-30	63.3373524123748	3.20876291647801e-28
PMP2	5.49713894440354	3.24192252002461	35.7645543416821	3.84376277183535e-32	2.25969940980855e-30	63.3372881789911	3.20877316192815e-28
OLIG2	4.46171749894658	2.3676140254973	35.7475059470302	3.91605557524533e-32	2.28610013581455e-30	63.3185819094519	3.2691231942148e-28
STXBP5L	-3.45750112787766	7.0241966728033	-35.7062703578599	4.0967261830312e-32	2.37496320666281e-30	63.2709913825937	3.41994701759445e-28
EFS	5.08046243640387	2.72456546546884	35.5894353870156	4.65642516000335e-32	2.68081636108331e-30	63.1454124387323	3.8871837235708e-28
PDE8A	3.24568619385715	6.62956152749298	35.5605389988016	4.80655960982421e-32	2.74829860430223e-30	63.1141902857735	4.01251596228125e-28
SLC45A3	4.64635470494535	2.42471289428951	35.5465525088598	4.8809994955929e-32	2.77187644824555e-30	63.0982027771451	4.07465837892095e-28
PRR18	5.64514919308902	3.29847744254787	35.5136540576425	5.06078420655209e-32	2.85455584839843e-30	63.0626915715378	4.22474265562969e-28
NEK3	5.70164152429132	4.88666438417604	35.3799559794455	5.86407936732006e-32	3.28545869519382e-30	62.9146029358563	4.89533345583879e-28
TANC1	4.13165627806254	5.2703695754491	35.3621274212425	5.98065787204085e-32	3.32414500249519e-30	62.8951611213929	4.9926531915797e-28
LRP2	6.93093235951056	4.94509609260691	35.3572792060394	6.01276827236192e-32	3.32414500249519e-30	62.8896429326218	5.01945895376773e-28
SLC4A10	-3.91489795996954	7.27196461344571	-35.3247720692036	6.23267764504674e-32	3.42305216979278e-30	62.8547591961971	5.20303929808502e-28
PDE1C	2.45121888752477	8.4990335950638	35.1868511811043	7.26128128813347e-32	3.96190694074106e-30	62.7016895269461	6.06171761933382e-28
SGK2	4.83518878331429	2.94609749034932	35.1785621200745	7.32838013847977e-32	3.97255307766423e-30	62.6928418156598	6.11773173960291e-28
ERBB3	6.94130852481974	5.03925812550009	35.1572766112348	7.50360758279694e-32	4.04129781297992e-30	62.668578428675	6.26401161011889e-28
HOOK1	-3.77766148736341	5.64574847432556	-35.0553788867218	8.40383909834882e-32	4.49713133288564e-30	62.5555579004676	7.0155248793016e-28
HIP1	4.33953297587107	6.02739175585832	35.0472851843593	8.47992524697e-32	4.50894369182838e-30	62.5469154827149	7.07904159617056e-28
CACNA1B	-5.14278648126814	6.48369066076762	-35.0093255192738	8.84629639891447e-32	4.67397989481886e-30	62.5050671373241	7.3848882338138e-28
MOG	7.38516192384655	4.71124261226043	34.9253697178415	9.71529205280185e-32	5.10083384004968e-30	62.4103473644984	8.11032580567898e-28
CTNNA3	6.3341774863414	4.33207786451822	34.8834690476406	1.01812227206947e-31	5.31205295452247e-30	62.3641880857952	8.49928472723594e-28
NPM2	-3.7886125536043	5.10169070841947	-34.8691541869304	1.03455956027086e-31	5.36428770754111e-30	62.347517590846	8.63650320914114e-28
COLEC12	3.96974509073751	2.11675728650146	34.6993467020856	1.25161106003952e-31	6.44965995630243e-30	62.1582023311215	1.04484491292099e-27
SEPT11	-2.79467714272182	8.19085682958441	-34.6684189236293	1.29591122887973e-31	6.63697358201719e-30	62.1239326760699	1.0818266938688e-27
GPR61	-4.46691722395355	4.09836098060023	-34.4799536241488	1.60287580824996e-31	8.15902880931137e-30	61.9113457239268	1.33808072472707e-27
MYO9B	1.86458606016712	8.72175200331197	34.4094438706794	1.73605064757964e-31	8.78336412484535e-30	61.8319592112212	1.44925508059948e-27
KLK6	4.80617332345728	2.4260129567456	34.3673843697797	1.82083444193787e-31	9.156822844155e-30	61.7840752591262	1.52003259212973e-27
CHD3	-2.66348301271701	8.63153332155635	-34.2220836790144	2.14779287942027e-31	1.07363921900601e-29	61.6194398581313	1.79297749574004e-27
CHD4	2.02725830966282	7.88789457250606	34.2137876835347	2.16818321526732e-31	1.07738056434831e-29	61.6092137147913	1.80999934810516e-27
ITPR1	-3.17372476784129	7.81273441112687	-34.1795129297912	2.25454917117517e-31	1.11366724739469e-29	61.5687109762401	1.88209764809703e-27
KCNJ2	3.48974554763101	5.07120406537248	33.9924046853337	2.79220431011814e-31	1.37113656358037e-29	61.3561419562861	2.33093215808662e-27
TRAF4	4.11443454988035	2.61775069646296	33.9191786441144	3.03689269115216e-31	1.48257194068645e-29	61.2726941553982	2.53519801857382e-27
ARHGEF37	3.09271321166989	5.6229461017062	33.8958634282613	3.11932667767846e-31	1.51396157588719e-29	61.2457639212484	2.60401391052598e-27
CNNM1	-3.56878246316136	5.45331926168713	-33.8405389220358	3.32422860519694e-31	1.6040844159644e-29	61.1823040510124	2.77506603961841e-27
SASH1	2.69474195662646	6.55325250312234	33.8233189124972	3.39077882835218e-31	1.62391540571645e-29	61.1635883883188	2.8306221659084e-27
CERCAM	6.94906358386334	6.75910834326474	33.8198802292117	3.40423090561067e-31	1.62391540571645e-29	61.1576849440049	2.84185196000379e-27
SLAIN1	3.1451763241741	6.17514130421981	33.8048842455897	3.46353681089394e-31	1.64281848280356e-29	61.1422675931073	2.89136052973426e-27
FBXW7	-2.488717509492	7.74866668519156	-33.7633109378174	3.63354458773025e-31	1.71371922137695e-29	61.0935761360139	3.03328302183721e-27
COL16A1	3.94728102512175	7.24708788624989	33.7534045359111	3.67530131667146e-31	1.7236750219985e-29	61.080539214953	3.06814153915733e-27
AATK	3.4820951498063	6.56212933094676	33.6953929773671	3.92988864338312e-31	1.832777117037e-29	61.0146164009515	3.28067103949623e-27
PLEKHG5	-4.08393898096454	6.57859977813242	-33.6771718863244	4.01352560725304e-31	1.86138398718602e-29	60.9946147585467	3.35049117693484e-27
GPR17	3.88076941169825	2.07711943941439	33.617275678076	4.30152624469873e-31	1.98393044700249e-29	60.9259429056081	3.5909141090745e-27
RAP1GAP2	-3.70714971408475	5.73266184329503	-33.546060466286	4.67166648646279e-31	2.14280614445008e-29	60.8437775502092	3.89990718289914e-27
SPTBN2	-3.67208526687158	6.3371363645004	-33.5299849218583	4.75963850389239e-31	2.17122744428927e-29	60.8226476720865	3.97334622304937e-27
RIN2	4.06642532408706	3.50189422328592	33.5096309129209	4.87346295461861e-31	2.21106895354109e-29	60.8014617739715	4.06836687451562e-27
CACNG8	-3.62818377979978	7.88689013077669	-33.5008250010065	4.92356793295711e-31	2.221726762396e-29	60.7886348790027	4.1101945104326e-27
GIPR	4.44649825202327	2.53449241690342	33.4584857349642	5.17194361633375e-31	2.3129918629492e-29	60.7421491232345	4.31753853091541e-27
OSBPL10	-3.934536995954	4.11990853863005	-33.456942594401	5.18123476726761e-31	2.3129918629492e-29	60.7364450437821	4.325294783715e-27
CAMK2B	-3.02761481430378	6.42416052826503	-33.3338695787138	5.98011505126032e-31	2.64137568507519e-29	60.5971009971107	4.99220004479212e-27
CDH19	5.54656623322691	3.19557292021414	33.3382633859504	5.94952837516698e-31	2.64137568507519e-29	60.5968205109367	4.9666662875894e-27
EVI2B	4.21903697522535	2.28178142057895	33.3100861913951	6.14849590424146e-31	2.70145493729514e-29	60.567315323923	5.13276438086077e-27
SNX22	5.99976982711236	3.65539140682127	33.2454557556471	6.63101886503243e-31	2.89820656991051e-29	60.4869418306637	5.53557454852907e-27
CNP	4.74304722565116	6.48995476402468	33.211632617704	6.89882576629396e-31	2.99955195296989e-29	60.447379374053	5.7591397497022e-27
SEMA4D	2.42363790291297	7.3891056457906	33.1589268510137	7.33841250068735e-31	3.17414857801751e-29	60.3919791691695	6.1261067555738e-27
CUEDC1	4.16361869436417	4.06976995387456	33.147314200912	7.43906292367076e-31	3.20109779828884e-29	60.3786673299358	6.21012972868035e-27
SOX2	4.14474858229799	6.40939881149921	33.0391878381784	8.44688249461594e-31	3.61613205461815e-29	60.2483459415266	7.05145750650539e-27
