Rows	logFC_CMC	AveExpr_CMC	t_CMC	P.Value_CMC	adj.P.Val_CMC	B_CMC	logFC_BrainSeq	AveExpr_BrainSeq	t_BrainSeq	P.Value_BrainSeq	adj.P.Val_BrainSeq	B_BrainSeq	logFC_OLIG2	AveExpr_OLIG2	t_OLIG2	P.Value_OLIG2	adj.P.Val_OLIG2	B_OLIG2
1	AAAS	0.0130745334641942	5.45193686800694	0.767605476621218	0.443070908273427	0.825306909561277	-7.58123457305196	-0.00156104222461194	5.73281912606637	-0.081994473469518	0.934696097376074	0.999999997573668	-8.06503423618608	-0.256420046990177	4.67924063888558	-1.17463702254865	0.250263329677983	0.524295925944652	-5.71539189830734
2	AACS	-0.00797329691299445	6.65612125714407	-0.59533349008963	0.551880234222767	0.893131215289583	-7.69984746658858	0.0143733078268999	7.09874222838761	1.1477519650158	0.25182343661127	0.634150997453028	-7.39859598383537	0.296545231121125	5.32886170374734	1.90452001247714	0.0674071176261257	0.263264719772511	-4.67622152178371
3	AADAT	0.0298393735176474	4.78401519847435	1.54414612959192	0.123162831310925	0.485511168168101	-6.6917578143638	0.00161693961553765	4.23889602726168	0.0892737662931357	0.928913355583321	0.999999997573668	-8.05267273372284	0.7241400869332	3.88346845638446	1.9833004762505	0.0574540890292536	0.240564014799532	-4.54152860744878
4	AAGAB	-0.0163494325101374	7.09703670926277	-1.59277605210644	0.111819656570434	0.464308631449074	-6.60535783384853	0.010917158817201	6.02502185530524	1.17456667163118	0.240934616986936	0.620375963070462	-7.36787099224438	0.317516059368146	4.31984079409486	1.00121943598287	0.325494738035535	0.602476011268396	-5.8874376089042
5	AARS	-0.017151768150657	8.70860508185223	-1.6491560423432	0.0997211680262658	0.4432241251475	-6.50993101268719	0.0107489893561429	8.3693606463094	0.919490884589873	0.358446734562684	0.737170764016344	-7.64300336790199	0.139813500388619	7.12060600658261	1.34792456252912	0.188738960052429	0.453182826447515	-5.46089365464124
6	AASDH	-0.0342977822138159	5.78971484303468	-2.25658466212916	0.0244494975060086	0.218984652249065	-5.35477703832514	-0.0114679197588423	3.5246571008334	-0.683871402914305	0.494490735186943	0.839424436328638	-7.83192431226263	0.109287278327098	4.90087975969292	0.509601276022484	0.614417290098942	0.811589056443131	-6.21811322126558
7	AASDHPPT	-0.00475630468092217	7.10028861666875	-0.485641915207032	0.627426158190249	0.933656476357679	-7.7640575474383	-0.000781698710722073	7.08734803162921	-0.0643344943895714	0.948739142125051	0.999999997573668	-8.06075337419414	0.116271177605365	4.90941808536831	0.512172561801782	0.612640432139701	0.811543092194156	-6.26542988100723
8	AATK	0.0106602333199417	7.21379577805857	0.780732484836661	0.435316028092173	0.821190157432362	-7.56920012752775	0.023198060144599	8.10255524607808	1.64890052229511	0.100029257364974	0.418398426741548	-6.68927181050652	-0.716966319236311	7.90556079509404	-4.3777872324476	0.000158026837500769	0.00771717525990597	0.874111293467126
9	ABAT	-0.00178144916428946	8.36286900322825	-0.165622539393323	0.868518544670934	0.999999421405898	-7.85851624743434	-0.0104566118413124	8.05513107107119	-0.769250439934008	0.442242648153321	0.80214676683026	-7.76631426093285	-0.303464662665293	5.67986292004951	-2.60316766012769	0.014744782303396	0.113468437275541	-3.28409165867099
10	ABCA1	-0.0405614425886536	6.39436666148763	-1.58595378994473	0.113359247565273	0.467015685728565	-6.61786535413661	0.0406870500974136	3.12138254197355	1.54929085515567	0.122179282352745	0.458516181007586	-6.86464976591229	-0.264443910930083	5.83717150372343	-1.12683195943582	0.269600663215289	0.543975243113794	-5.76866758822417
11	ABCA2	0.0133012744198574	8.99092213773477	0.832901489417106	0.405283651756608	0.800887120149773	-7.53476450119342	-0.00122776256489741	9.76113263323383	-0.0821934847473073	0.934537953440779	0.999999997573668	-8.0571487653425	-0.469561457551815	10.098520616681	-4.26884073382524	0.000211767380114649	0.00923106801238016	0.584654252456751
12	ABCA3	-0.00499095928559344	7.50821934981599	-0.441800859552382	0.658817457377278	0.948693582218098	-7.77595741654684	0.0171604024328472	7.00419807408639	1.5272195494022	0.127573365762351	0.467098851623661	-6.89830387210991	0.055602839492119	5.01258110755202	0.316731069365923	0.753851988585046	0.892827984292464	-6.29755934828282
13	ABCA6	-0.034499584672486	6.1040360542774	-1.37870390494047	0.168580387399961	0.555219470502614	-6.90875704089753	-0.0239292952911468	1.70130458285083	-0.535464208391363	0.592655328411084	0.895344669810773	-7.90305851537246	0.00669160193693218	4.73749125153726	0.0223965380884581	0.98229420068464	0.991915552463734	-6.41950582375608
14	ABCA8	0.00414318168807794	7.02176159612796	0.173419763102656	0.862389150624257	0.999999421405898	-7.85230923753952	-0.0173036948758887	5.2157301348859	-0.631581689652655	0.528055993433901	0.85893822035806	-7.84525166207039	0.0110898032135653	8.73637239418032	0.0886360376550846	0.930016842390581	0.972072641024593	-6.40819302543608
15	ABCA9	-0.00624338780941973	5.61099801459255	-0.320929889885804	0.74839279303134	0.989010087732199	-7.81693651276388	-0.00513883186081056	4.02075509493972	-0.199749044911897	0.841788202198659	0.999999997573668	-8.0375541956481	-0.638785075553731	4.55685910909739	-2.32355175258633	0.0278161439952857	0.162615531277571	-3.93028238069738
16	ABCB10	-0.0090281551065746	5.18719102797172	-0.794435036175385	0.427305558864167	0.81566101372203	-7.57308078736824	0.0339216855646725	3.7403388374152	2.53528348116508	0.0116527742823999	0.149151620072054	-4.85664584703818	0.0169090182485634	3.90637354857098	0.0906409452575308	0.928438292679894	0.97094079779535	-6.39848098067534
17	ABCB8	-0.00490524532695023	5.33217959832288	-0.36786947457954	0.713120637051476	0.973955179187151	-7.80391291238199	-0.0353764397432229	5.79023589607927	-2.76766171345812	0.00593400892170732	0.105292055046006	-4.25032270443909	-0.0372189867215464	5.25445662169279	-0.166669871301237	0.868855582294482	0.946357006872813	-6.37851047647617
18	ABCB9	-0.0173752814938601	5.2344509216721	-1.33471616713053	0.182554861570088	0.576944343795625	-6.98717378333972	0.0060616463042785	6.16027732111424	0.59613755287886	0.551453216938433	0.873529301608795	-7.87768569432309	0.274743331272718	3.99705316707092	0.872330947305934	0.390619859607217	0.664678016282125	-6.00972025563153
19	ABCC10	-0.0253572843365858	4.57198455529925	-1.56903376993277	0.117249915102049	0.474785571248576	-6.64271393045116	-0.0135551558891459	4.90420306518337	-1.17493487144366	0.24078745369597	0.620375963070462	-7.34329948710367	-0.145523925424446	4.05736735992278	-0.84149657459929	0.407365553424136	0.674958997318818	-5.91189301080382
20	ABCC5	-0.0217262875742384	7.27376647125168	-1.86080244929237	0.0633377301034237	0.355022481654964	-6.14080516435493	-0.00922447117216301	6.79453804181969	-0.903697074868677	0.366752684711417	0.74369024958541	-7.63907554767497	0.0266804967673342	7.52519291281538	0.282088833106795	0.779998452912603	0.904216695955124	-6.30172194720765
21	ABCD3	0.00740348470062165	7.49131265608052	0.890123173680567	0.373812436052555	0.775224163747964	-7.4738595384504	-0.0124223710309236	5.94833846471734	-0.993602549334255	0.321075293248836	0.702836337855481	-7.56504249915983	-0.147614381213148	5.58284688993087	-0.799808602750291	0.430712083577108	0.691930492909552	-6.09232960230858
22	ABCE1	-0.0120346114782638	7.15200969409432	-1.26186655749361	0.207563968883883	0.610855264841571	-7.08578078688938	-0.0149273226117564	5.79487263372451	-1.39166641635227	0.164871789518356	0.522634883829334	-7.10162167474633	-0.10919080461409	4.8564493947727	-0.699099122350292	0.490391508545218	0.732378862898121	-6.11789263517586
23	ABCF1	-0.00684405448404836	5.83758112936124	-0.525147368704116	0.599705155195271	0.920146949423607	-7.73956437131082	-0.00369549933244659	6.25340293651556	-0.306248469651578	0.759590255648936	0.983634303974332	-8.01547022613793	-0.109213402353611	6.39076635013418	-1.18815650533333	0.244984536393942	0.519652045682122	-5.69590628479381
24	ABCF2	-0.00755874725447556	6.92739753254145	-0.719276734518052	0.472294375241457	0.841972357781377	-7.62296747159878	-0.0175539639929714	5.6323336187595	-1.98433735047667	0.0479675057288465	0.293218549714375	-6.08819296840444	0.281494374276585	6.10865950150852	1.93871828628718	0.0629157193006496	0.252972727749475	-4.62093564363184
25	ABCF3	-0.0018814383502941	6.62515170197472	-0.181580186475927	0.855983138238976	0.999999421405898	-7.85914138010791	0.00350485212166905	7.15780203069834	0.38022761401949	0.703997848309451	0.955995661174028	-7.99164308540148	-0.0722189192707135	4.6906599659331	-0.443700317382115	0.6607487821496	0.839015315750079	-6.24528823828194
26	ABCG1	-0.0459748281888481	5.63434059695513	-2.7673857147581	0.00585266066318111	0.101756486530308	-4.07037689845741	0.00912871846490244	4.22283947188564	0.401972215788956	0.687939985521465	0.947191500223232	-7.98155078679982	-0.0855979941341478	5.41282355806451	-0.505419279076963	0.617312317478258	0.813439541899227	-6.27930101623628
27	ABHD13	-0.0175548672028971	5.32662843531927	-1.22998993749246	0.219258477339342	0.625045264751894	-7.12660940270802	-0.000524991190198411	3.45693907053209	-0.0454800251949727	0.96374959276531	0.999999997573668	-8.06223789637272	0.0796076787447234	4.60382002658048	0.48238601873391	0.633369033767866	0.822253023050627	-6.23095444922132
28	ABHD2	0.00925283140179995	7.70665356188248	1.0311912488752	0.302931750891074	0.710995744511537	-7.33944463311781	0.00811153960469328	6.44153330296559	0.540318255248933	0.589307431412996	0.893812082422046	-7.91284260032052	-0.27583680608397	6.67150987902798	-2.10010184747599	0.0450725109644933	0.207714434263699	-4.32560259941738
